ATL,BTV,1903,48,39.645833333333336
ATL,BUF,15811,589,26.843803056027166
ATL,BWI,22327,844,26.453791469194314
ATL,BZN,253,7,36.142857142857146
ATL,CAE,12273,400,30.6825
ATL,CAK,19647,575,34.168695652173916
ATL,CHA,10179,291,34.97938144329897
ATL,CHO,4197,137,30.635036496350367
ATL,CHS,16030,591,27.123519458544838
ATL,CID,2333,58,40.224137931034484
ATL,CLE,14203,430,33.03023255813954
ATL,CLT,26680,896,29.776785714285715
ATL,CMH,5928,211,28.09478672985782
ATL,COS,2997,98,30.581632653061224
ATL,CRP,64,3,21.333333333333332
ATL,CRW,7019,181,38.77900552486188
ATL,CSG,7124,212,33.60377358490566
ATL,CVG,12152,388,31.31958762886598
ATL,DAB,11556,420,27.514285714285716
ATL,DAY,17750,531,33.42749529190207
ATL,DCA,23084,905,25.507182320441988
ATL,DEN,21825,922,23.671366594360087
ATL,DFW,40108,1475,27.19186440677966
ATL,DHN,5946,189,31.46031746031746
ATL,DSM,6978,195,35.784615384615385
ATL,DTW,26924,813,33.11685116851169
ATL,EGE,518,28,18.5
ATL,ELP,1955,51,38.333333333333336
ATL,EVV,6364,180,35.355555555555554
ATL,EWN,4370,140,31.214285714285715
ATL,EWR,55678,1275,43.66901960784314
ATL,EYW,9744,222,43.891891891891895
ATL,FAY,12402,324,38.27777777777778
ATL,FLL,30911,1178,26.2402376910017
ATL,FLO,2765,75,36.86666666666667
ATL,FNT,14673,480,30.56875
ATL,FSD,2151,44,48.88636363636363
ATL,FSM,3614,85,42.51764705882353
ATL,FWA,6488,170,38.16470588235294
ATL,GNV,12092,262,46.152671755725194
ATL,GPT,14995,507,29.57593688362919
ATL,GRB,2130,58,36.724137931034484
ATL,GRK,3692,98,37.673469387755105
ATL,GRR,6757,224,30.165178571428573
ATL,GSO,14134,417,33.89448441247002
ATL,GSP,10842,351,30.88888888888889
ATL,GTR,5036,133,37.86466165413534
ATL,HDN,819,32,25.59375
